01205;1151;55;69;38;73;44;75;109;85;83;70;90;57;77;48;59;38;32;34;12;3;1;491;503;922;122;98;20;13;20;0;23;0;20;82;0;20;12;7;11;0;0;11;0;0;0;5;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;454;443;11;11;74;48;212;238;428;52;173
01206;476;9;18;7;23;13;23;49;14;49;32;43;20;42;30;44;14;24;14;3;6;0;159;160;348;21;12;20;6;20;0;20;0;20;6;0;20;0;7;0;0;0;9;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;155;0;5;30;25;55;99;211;36;50
01207;1682;69;79;50;95;92;96;103;81;116;111;121;112;123;90;105;85;80;47;25;3;0;691;834;1377;198;87;21;63;24;4;30;1;20;2;0;20;7;7;7;0;0;82;0;10;2;17;0;0;5;0;10;15;2;3;22;17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;675;551;32;73;193;25;191;243;696;342;186
01208;234;2;8;1;21;4;5;31;5;30;4;36;3;32;5;31;5;8;3;1;0;0;41;36;124;3;3;20;2;20;0;20;0;20;1;0;20;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;43;0;0;5;25;40;55;72;12;30
01209;3014;292;364;260;153;65;61;160;285;431;340;217;101;88;50;60;31;25;19;9;2;2;1372;1485;2752;155;80;33;0;31;21;22;17;31;3;1;21;0;7;0;0;0;59;6;3;9;2;0;3;0;2;1;0;1;17;10;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1227;1434;39;137;20;25;40;45;442;1578;884
01210;1735;87;98;84;89;68;95;150;127;131;139;133;89;112;81;94;60;49;31;13;6;0;718;860;1365;263;144;25;2;20;6;25;6;22;116;0;24;18;7;14;0;0;91;3;21;1;9;0;4;3;19;3;16;0;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;687;658;8;123;102;33;173;135;714;484;196
00162;1162;35;34;24;53;53;101;134;81;102;74;94;93;73;59;49;36;30;21;9;8;0;443;562;905;150;58;24;5;23;7;22;5;28;15;1;20;9;7;8;0;0;71;3;0;0;8;3;1;7;6;10;12;0;4;6;4;0;0;0;0;0;0;1;0;0;3;0;2;3;0;0;0;0;0;0;0;0;0;6;527;352;42;34;50;42;81;172;456;336;76
00163;210;2;7;2;22;3;1;31;0;27;1;34;7;25;5;28;8;5;1;2;0;0;29;24;102;1;0;20;0;20;0;20;0;20;0;0;20;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;25;44;64;44;7;25
00164;199;0;7;0;21;1;1;30;0;28;2;32;4;28;3;29;5;5;2;1;1;0;27;15;87;5;0;20;0;20;0;20;0;20;0;0;20;0;7;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;30;0;0;0;25;30;45;67;7;25
00165;2411;82;97;98;116;128;195;209;182;177;199;189;185;188;157;95;47;35;22;9;2;0;1110;1144;2066;238;66;20;2;25;9;21;9;21;34;1;25;48;12;38;0;0;91;2;0;5;20;2;0;14;16;6;8;0;8;25;8;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;8;1077;899;46;70;163;118;193;463;1047;317;273
00166;1589;51;50;53;67;58;102;164;130;128;110;113;95;127;77;66;51;53;50;29;11;5;631;801;1326;156;52;24;0;29;9;20;2;31;6;3;20;1;7;1;0;0;77;2;2;9;7;6;3;6;3;3;6;0;4;23;13;0;0;0;0;0;0;1;1;0;0;0;1;3;0;0;0;0;3;0;0;2;0;3;662;619;14;29;108;39;59;181;419;694;197
