id;x;y;col_1;col_2
333126;454651.495651956;4538128.35082216;11358;11416
333141;440635.431440912;4488167.65147413;3039;52750
333130;440194.753697729;4475968.37053661;7918;3104
333132;444831.180469973;4450243.64832625;20167;9432
333136;439178.052661154;4536615.06840399;67275;490
333156;436441.288540855;4400685.43228328;5457;2926
333162;436586.607438292;4669513.04388054;7597;9216
333171;546721.310125422;4709313.74489237;31587;3783
333172;455209.889795181;4428531.28095329;43306;4435
333183;436579.498192458;4496578.76592714;15634;7241
333256;445258.764716642;4443569.70316152;15663;2987
333194;447362.204309249;4466217.01331484;74171;48841
333195;432902.321077484;4452614.53206716;24555;3756
333209;420294.154148828;4346277.30838926;2061;6208
333220;348090.545892439;4598259.25508182;66359;175178
333221;450561.471852096;4459469.1814763;45386;26876
333222;452662.724956469;4491697.8459768;24028;10707
333223;455197.92935977;4430205.73219122;76402;92067
333255;598116.168680202;4289975.29028037;6565;9741
333265;600630.121306257;4310844.15819433;12629;21873
333267;279331.86035697;4575967.4249485;16041;4625
333278;433529.448551446;4528008.12878135;6273;12497
320505;358548.680587224;4472285.40121974;31599;11846
320476;440787.694023437;4464748.53890207;35277;37520
320601;352220.143217374;4608658.45045824;26240;58497
320563;544103.445767787;4677126.22209127;35719;5528
320513;543656.688494715;4711583.50857529;94580;70267
320481;590040.077424005;4299371.60321968;45643;75543
320577;284545.581287588;4715172.54198309;2329;55563
320586;439134.002925738;4497178.09598918;114563;137196
320518;445753.570690877;4436295.35298301;5065;13670
320478;440043.523480287;4415034.36827318;56945;311513
320594;422525.414940351;4492422.3970643;71285;14734
320592;435421.295789038;4448261.63076242;9868;32590
320585;449812.709284971;4444108.98944795;79549;5542
320583;447224.889242708;4436349.22748955;64740;51653
320575;445800.023217033;4537295.67495109;54188;54606
320572;445791.279293358;4428344.95186355;19841;7448
320565;411965.266319301;4463348.23225692;43747;77064
320561;378240.713813982;4598051.57359918;19098;17339
320560;434201.858210789;4496984.72988734;33542;909
320545;454885.76797693;4536381.4238489;186186;36662
320543;439043.855643828;4415065.18182148;12647;58933
